window,real,imag,power,running_power_sum
0,1624762,2761950,40110231872,40110231872
1,-1796850,3626894,63996210976,104106442848
2,-2915278,-541527,34344130113,138450572961
3,-2068234,-2787803,47068115022,185518687983
4,1143196,-2282283,25452003072,210970691055
5,3586537,83651,50274395087,261245086142
6,1377683,3369247,51757171076,313002257218
7,-1762419,1268378,18417591728,331419848946
8,-2030943,-3206468,56274087907,387693936853
9,1804281,-3712405,66552268793,454246205646
10,3700759,955509,57064900880,511311106526
11,708947,2933288,35573376327,546884482853
12,-1762884,2155629,30291001496,577175484349
13,-3541976,-98733,49044305429,626219789778
14,214024,-3039532,36267816608,662487606386
15,3203728,-2783125,70350226030,732837832416
16,1765469,943306,15651199217,748489031633
17,607891,2393266,23817396932,772306428565
18,-1627063,1433005,18362645844,790669074409
19,-2718759,-1608405,38978973219,829648047628
20,898820,-3143538,41756674023,871404721651
21,2605889,-530504,27625359275,899030080926
22,3244950,840214,43889297142,942919378068
23,-1160577,3619727,56442822373,999362200441
24,-2593730,833580,28993323943,1028355524384
25,-2817231,-2672219,58896659732,1087252184116
26,3155197,-3222306,79447359635,1166699543751
27,4682479,-327103,86064867024,1252764410775
28,-395365,4621096,84026725486,1336791136261
29,-2917250,1884640,47118029266,1383909165527
30,-3763554,-2071486,72091378747,1456000544274
31,-976015,-4032438,67238912125,1523239456399
32,3599131,-2204036,69576244705,1592815701104
33,1505458,3669507,61451896144,1654267597248
34,-928331,3374631,47851300124,1702118897372
35,-2461517,1683103,34733990820,1736852888192
36,-2857685,-752312,34110691033,1770963579225
37,758133,-4674252,87591396114,1858554975339
38,5842109,-491729,134265761630,1992820736969
39,1208066,3121277,43757006137,2036577743106
40,-2445237,3144872,61989858916,2098567602022
41,-4377906,-1714016,86343405442,2184911007464
42,-464228,-4095713,66368643025,2251279650489
43,2465640,-1650690,34391242522,2285670893011
44,2746843,328410,29894529667,2315565422678
45,69231,4025222,63309394846,2378874817524
46,-2865255,1652796,42739925128,2421614742652
47,-2959757,-1331319,41142858511,2462757601163
48,-574633,-3665241,53766385441,2516523986604
49,4780626,-2997331,124368664357,2640892650961
50,2396815,2988605,57330007774,2698222658735
